station_uid,wsc_id,bc_aquarius_loc_id,ona_id,name,operator,status,lat,lon,basin,telemetry_type,goes_dcp_id
WSC-08NM002,08NM002,NA,NA,OKANAGAN RIVER AT OKANAGAN FALLS,WSC,active,49.34205,-119.58041,Okanagan,NA,NA
WSC-08NM037,08NM037,NA,NA,SHATFORD CREEK NEAR PENTICTON,WSC,active,49.42746,-119.75155,Okanagan,NA,NA
WSC-08NM050,08NM050,NA,NA,OKANAGAN RIVER AT PENTICTON,WSC,active,49.49852,-119.61536,Okanagan,NA,NA
WSC-08NM065,08NM065,NA,NA,VERNON CREEK AT OUTLET OF KALAMALKA LAKE,WSC,active,50.23847,-119.26689,Okanagan,NA,NA
WSC-08NM083,08NM083,NA,NA,OKANAGAN LAKE AT KELOWNA,WSC,active,49.88613,-119.49966,Okanagan,NA,NA
WSC-08NM084,08NM084,NA,NA,SKAHA LAKE AT OKANAGAN FALLS,WSC,active,49.42642,-119.57508,Okanagan,NA,NA
WSC-08NM085,08NM085,NA,NA,OKANAGAN RIVER NEAR OLIVER,WSC,active,49.11462,-119.56665,Okanagan,NA,NA
WSC-08NM116,08NM116,NA,NA,MISSION CREEK NEAR EAST KELOWNA,WSC,active,49.87793,-119.41347,Okanagan,NA,NA
WSC-08NM123,08NM123,NA,NA,B.X. CREEK BELOW SWAN LAKE CONTROL DAM,WSC,active,50.26975,-119.2771,Okanagan,NA,NA
WSC-08NM134,08NM134,NA,NA,CAMP CREEK AT MOUTH NEAR THIRSK,WSC,active,49.71234,-120.01117,Okanagan,NA,NA
WSC-08NM139,08NM139,NA,NA,ESPERON CREEK NEAR KELOWNA,WSC,active,50.07292,-119.68625,Okanagan,NA,NA
WSC-08NM143,08NM143,NA,NA,KALAMALKA LAKE AT VERNON PUMPHOUSE,WSC,active,50.22992,-119.27442,Okanagan,NA,NA
WSC-08NM146,08NM146,NA,NA,CLARK CREEK NEAR WINFIELD,WSC,active,50.04875,-119.33597,Okanagan,NA,NA
WSC-08NM158,08NM158,NA,NA,TROUT CREEK AT THE MOUTH,WSC,active,49.56797,-119.63172,Okanagan,NA,NA
WSC-08NM160,08NM160,NA,NA,VERNON CREEK NEAR THE MOUTH,WSC,active,50.25792,-119.30114,Okanagan,NA,NA
WSC-08NM165,08NM165,NA,NA,LAMBLY CREEK ABOVE TERRACE CREEK,WSC,active,49.99692,-119.61572,Okanagan,NA,NA
WSC-08NM171,08NM171,NA,NA,VASEUX CREEK ABOVE SOLCO CREEK,WSC,active,49.24928,-119.32139,Okanagan,NA,NA
WSC-08NM172,08NM172,NA,NA,PEARSON CREEK NEAR THE MOUTH,WSC,active,49.88675,-119.06136,Okanagan,NA,NA
WSC-08NM173,08NM173,NA,NA,GREATA CREEK NEAR THE MOUTH,WSC,active,49.79458,-119.85203,Okanagan,NA,NA
WSC-08NM174,08NM174,NA,NA,WHITEMAN CREEK ABOVE BOULEAU CREEK,WSC,active,50.212,-119.54375,Okanagan,NA,NA
WSC-08NM200,08NM200,NA,NA,INKANEEP CREEK NEAR THE MOUTH,WSC,active,49.07784,-119.50206,Okanagan,NA,NA
WSC-08NM232,08NM232,NA,NA,BELGO CREEK BELOW HILDA CREEK,WSC,active,50.00041,-119.07283,Okanagan,NA,NA
WSC-08NM240,08NM240,NA,NA,TWO FORTY CREEK NEAR PENTICTON,WSC,active,49.65089,-119.40003,Okanagan,NA,NA
WSC-08NM241,08NM241,NA,NA,TWO FORTY-ONE CREEK NEAR PENTICTON,WSC,active,49.65004,-119.39385,Okanagan,NA,NA
WSC-08NM242,08NM242,NA,NA,DENNIS CREEK NEAR 1780 METRE CONTOUR,WSC,active,49.62417,-119.38143,Okanagan,NA,NA
WSC-08NM243,08NM243,NA,NA,VASEUX LAKE NEAR THE OUTLET,WSC,active,49.27319,-119.52551,Okanagan,NA,NA
WSC-08NM247,08NM247,NA,NA,OKANAGAN RIVER BELOW MCINTYRE DAM,WSC,active,49.25684,-119.52803,Okanagan,NA,NA
WSC-08NM248,08NM248,NA,NA,COLDSTREAM CREEK AT COLDSTREAM CREEK ROAD,WSC,active,50.21671,-119.22455,Okanagan,NA,NA
WSC-08NM249,08NM249,NA,NA,B.X. CREEK AT B.X. RANCH PARK,WSC,active,50.28122,-119.23378,Okanagan,NA,NA
WSC-08NM250,08NM250,NA,NA,VERNON CREEK AT SWALWELL PARK,WSC,active,50.02881,-119.40158,Okanagan,NA,NA
